Date Of Sleep,Local Time Offset,Sleep Score,BedTime,Sleep Start Time,Wake Up Time,Get Up Time,Total In Bed Duration (hrs),Total Sleep Duration (hrs)
31/08/2021,-4,85.1333082,2021-08-31T01:32:19.000Z,2021-08-31T01:49:19.000Z,2021-08-31T10:44:49.000Z,2021-08-31T10:53:19.000Z,9.361,7.889
01/09/2021,-4,82.0873557,2021-09-01T02:02:52.000Z,2021-09-01T02:07:22.000Z,2021-09-01T09:44:52.000Z,2021-09-01T09:48:22.000Z,7.750,7.000
02/09/2021,-4,86.9125,2021-09-02T01:40:36.000Z,2021-09-02T01:44:06.000Z,2021-09-02T08:44:36.000Z,2021-09-02T10:02:06.000Z,8.361,6.889
03/09/2021,-4,79.01294261,2021-09-03T02:09:38.000Z,2021-09-03T02:20:08.000Z,2021-09-03T09:57:38.000Z,2021-09-03T10:46:38.000Z,8.611,6.806
04/09/2021,-4,85.40829766,2021-09-04T02:19:20.000Z,2021-09-04T02:19:20.000Z,2021-09-04T11:13:20.000Z,2021-09-04T11:23:20.000Z,9.056,7.806
05/09/2021,-4,71.50586932,2021-09-05T03:24:23.000Z,2021-09-05T03:24:23.000Z,2021-09-05T10:34:23.000Z,2021-09-05T10:38:53.000Z,7.250,6.278
07/09/2021,-4,94.85246967,2021-09-07T00:50:00.000Z,2021-09-07T00:59:00.000Z,2021-09-07T10:27:00.000Z,2021-09-07T10:37:00.000Z,9.778,9.139
08/09/2021,-4,81.277053,2021-09-08T01:51:04.000Z,2021-09-08T01:55:34.000Z,2021-09-08T09:55:04.000Z,2021-09-08T10:33:34.000Z,8.722,7.167
09/09/2021,-4,69.59368556,2021-09-09T01:49:26.000Z,2021-09-09T02:02:56.000Z,2021-09-09T07:20:26.000Z,2021-09-09T10:16:56.000Z,8.472,5.083
10/09/2021,-4,81.72965008,2021-09-10T01:36:18.000Z,2021-09-10T01:45:48.000Z,2021-09-10T10:33:18.000Z,2021-09-10T10:47:18.000Z,9.194,7.000
11/09/2021,-4,83.89452275,2021-09-11T03:04:36.000Z,2021-09-11T03:04:36.000Z,2021-09-11T10:39:36.000Z,2021-09-11T11:00:06.000Z,7.917,6.389
12/09/2021,-4,73.28758556,2021-09-12T04:20:34.000Z,2021-09-12T04:39:04.000Z,2021-09-12T11:04:04.000Z,2021-09-12T11:15:04.000Z,6.917,5.917
13/09/2021,-4,95.08017934,2021-09-13T01:41:07.000Z,2021-09-13T01:48:07.000Z,2021-09-13T10:40:07.000Z,2021-09-13T10:50:07.000Z,9.139,8.472
14/09/2021,-4,94.67495292,2021-09-14T01:51:49.000Z,2021-09-14T02:01:19.000Z,2021-09-14T10:42:49.000Z,2021-09-14T10:53:49.000Z,9.028,8.278
15/09/2021,-4,88.59097035,2021-09-15T01:36:44.000Z,2021-09-15T01:41:44.000Z,2021-09-15T10:26:44.000Z,2021-09-15T10:50:14.000Z,9.222,7.917
16/09/2021,-4,93.71349206,2021-09-16T02:16:26.000Z,2021-09-16T02:18:56.000Z,2021-09-16T10:37:56.000Z,2021-09-16T10:40:26.000Z,8.389,8.083
17/09/2021,-4,80.81865079,2021-09-17T02:09:18.000Z,2021-09-17T02:12:48.000Z,2021-09-17T10:54:18.000Z,2021-09-17T11:08:48.000Z,9.000,7.556
18/09/2021,-4,88.38741663,2021-09-18T02:16:55.000Z,2021-09-18T02:21:55.000Z,2021-09-18T09:57:25.000Z,2021-09-18T09:59:25.000Z,7.722,7.278
19/09/2021,-4,90.32762222,2021-09-19T01:51:10.000Z,2021-09-19T01:55:10.000Z,2021-09-19T10:36:40.000Z,2021-09-19T10:41:40.000Z,8.833,8.111
20/09/2021,-4,93.55400729,2021-09-20T01:39:47.000Z,2021-09-20T01:47:17.000Z,2021-09-20T10:48:47.000Z,2021-09-20T10:56:47.000Z,9.278,8.639
21/09/2021,-4,78.94345763,2021-09-21T01:58:10.000Z,2021-09-21T02:01:40.000Z,2021-09-21T10:28:40.000Z,2021-09-21T10:36:40.000Z,8.639,7.333
22/09/2021,-4,91.74344634,2021-09-22T01:41:07.000Z,2021-09-22T01:52:37.000Z,2021-09-22T09:54:07.000Z,2021-09-22T10:24:37.000Z,8.722,7.667
23/09/2021,-4,92.16284892,2021-09-23T01:45:54.000Z,2021-09-23T01:59:54.000Z,2021-09-23T10:46:24.000Z,2021-09-23T10:50:54.000Z,9.083,8.306
24/09/2021,-4,69.18643106,2021-09-24T03:41:28.000Z,2021-09-24T03:41:28.000Z,2021-09-24T10:03:28.000Z,2021-09-24T10:03:28.000Z,6.361,5.639
25/09/2021,-4,94.92063492,2021-09-25T03:27:29.000Z,2021-09-25T03:29:59.000Z,2021-09-25T11:49:59.000Z,2021-09-25T11:50:29.000Z,8.389,8.139
26/09/2021,-4,94.75753968,2021-09-26T02:00:18.000Z,2021-09-26T02:11:18.000Z,2021-09-26T10:46:18.000Z,2021-09-26T10:57:18.000Z,8.944,8.361
27/09/2021,-4,95.81663922,2021-09-27T01:26:10.000Z,2021-09-27T01:35:10.000Z,2021-09-27T10:06:40.000Z,2021-09-27T10:40:40.000Z,9.250,8.194
28/09/2021,-4,88.18611111,2021-09-28T02:32:27.000Z,2021-09-28T02:32:27.000Z,2021-09-28T10:27:57.000Z,2021-09-28T10:38:27.000Z,8.111,7.528
29/09/2021,-4,91.32698413,2021-09-29T02:04:53.000Z,2021-09-29T02:12:53.000Z,2021-09-29T10:02:53.000Z,2021-09-29T10:02:53.000Z,7.972,7.611
30/09/2021,-4,89.44808362,2021-09-30T01:55:58.000Z,2021-09-30T02:04:28.000Z,2021-09-30T10:07:58.000Z,2021-09-30T10:27:58.000Z,8.528,7.667
01/10/2021,-4,81.22970624,2021-10-01T01:10:47.000Z,2021-10-01T01:28:17.000Z,2021-10-01T10:23:17.000Z,2021-10-01T10:32:17.000Z,9.361,7.611
02/10/2021,-4,68.10020328,2021-10-02T03:58:27.000Z,2021-10-02T04:03:27.000Z,2021-10-02T10:45:57.000Z,2021-10-02T10:46:27.000Z,6.806,5.833
03/10/2021,-4,90.68171753,2021-10-03T01:14:57.000Z,2021-10-03T01:21:27.000Z,2021-10-03T10:17:57.000Z,2021-10-03T11:11:57.000Z,9.944,8.417
04/10/2021,-4,76.78203235,2021-10-04T01:05:08.000Z,2021-10-04T01:18:08.000Z,2021-10-04T08:28:38.000Z,2021-10-04T08:28:38.000Z,7.389,6.500
05/10/2021,-4,94.36190476,2021-10-05T01:29:50.000Z,2021-10-05T01:34:20.000Z,2021-10-05T09:57:20.000Z,2021-10-05T10:12:20.000Z,8.722,8.083
06/10/2021,-4,92.91148397,2021-10-06T01:52:36.000Z,2021-10-06T02:18:06.000Z,2021-10-06T10:34:06.000Z,2021-10-06T10:45:06.000Z,8.889,8.000
07/10/2021,-4,87.94045726,2021-10-07T01:49:30.000Z,2021-10-07T01:54:00.000Z,2021-10-07T10:23:00.000Z,2021-10-07T10:41:30.000Z,8.861,7.778
08/10/2021,-4,78.4327065,2021-10-08T01:50:52.000Z,2021-10-08T01:50:52.000Z,2021-10-08T09:41:52.000Z,2021-10-08T10:02:22.000Z,8.194,6.806
09/10/2021,-4,92.90595238,2021-10-09T01:41:00.000Z,2021-10-09T01:48:00.000Z,2021-10-09T09:58:00.000Z,2021-10-09T10:14:30.000Z,8.556,7.889
10/10/2021,-4,87.95039683,2021-10-10T03:03:27.000Z,2021-10-10T03:12:57.000Z,2021-10-10T10:39:27.000Z,2021-10-10T10:51:27.000Z,7.806,7.139
11/10/2021,-4,95.54920635,2021-10-11T01:21:22.000Z,2021-10-11T01:30:22.000Z,2021-10-11T10:20:52.000Z,2021-10-11T10:21:52.000Z,9.000,8.556
12/10/2021,-4,63.77005363,2021-10-12T01:13:48.000Z,2021-10-12T01:40:18.000Z,2021-10-12T10:07:18.000Z,2021-10-12T10:07:48.000Z,8.889,6.778
13/10/2021,-4,73.3366629,2021-10-13T02:31:43.000Z,2021-10-13T03:21:43.000Z,2021-10-13T09:54:43.000Z,2021-10-13T10:10:43.000Z,7.639,6.194
14/10/2021,-4,84.30765014,2021-10-14T01:53:59.000Z,2021-10-14T02:05:29.000Z,2021-10-14T09:10:29.000Z,2021-10-14T09:10:29.000Z,7.278,6.806
15/10/2021,-4,82.19427836,2021-10-15T03:10:37.000Z,2021-10-15T03:32:37.000Z,2021-10-15T10:17:07.000Z,2021-10-15T10:32:07.000Z,7.361,6.472
16/10/2021,-4,89.41128332,2021-10-16T02:42:59.000Z,2021-10-16T03:06:59.000Z,2021-10-16T11:32:59.000Z,2021-10-16T11:55:59.000Z,9.222,7.917
17/10/2021,-4,93.77738095,2021-10-17T02:15:14.000Z,2021-10-17T02:15:14.000Z,2021-10-17T10:26:14.000Z,2021-10-17T10:33:44.000Z,8.306,8.000
18/10/2021,-4,89.74583802,2021-10-18T00:46:58.000Z,2021-10-18T00:52:28.000Z,2021-10-18T10:18:28.000Z,2021-10-18T10:31:28.000Z,9.750,8.611
19/10/2021,-4,90.90383882,2021-10-19T02:07:04.000Z,2021-10-19T02:18:04.000Z,2021-10-19T09:53:04.000Z,2021-10-19T09:58:04.000Z,7.861,7.306
20/10/2021,-4,92.93985689,2021-10-20T01:55:40.000Z,2021-10-20T02:05:10.000Z,2021-10-20T10:18:40.000Z,2021-10-20T10:34:40.000Z,8.639,7.833
21/10/2021,-4,91.42539683,2021-10-21T01:55:43.000Z,2021-10-21T02:05:13.000Z,2021-10-21T09:38:13.000Z,2021-10-21T10:00:43.000Z,8.083,7.389
22/10/2021,-4,83.02966377,2021-10-22T03:30:51.000Z,2021-10-22T03:34:21.000Z,2021-10-22T10:29:21.000Z,2021-10-22T10:52:51.000Z,7.361,6.611
23/10/2021,-4,86.97841354,2021-10-23T01:21:01.000Z,2021-10-23T01:37:01.000Z,2021-10-23T08:51:31.000Z,2021-10-23T08:51:31.000Z,7.500,6.972
24/10/2021,-4,96.28214286,2021-10-24T01:43:22.000Z,2021-10-24T01:48:52.000Z,2021-10-24T10:46:22.000Z,2021-10-24T11:02:22.000Z,9.306,8.611
25/10/2021,-4,81.53387512,2021-10-25T00:40:25.000Z,2021-10-25T00:46:55.000Z,2021-10-25T10:13:55.000Z,2021-10-25T10:24:55.000Z,9.750,8.167
26/10/2021,-4,93.68223553,2021-10-26T01:49:24.000Z,2021-10-26T01:59:54.000Z,2021-10-26T10:10:24.000Z,2021-10-26T10:45:54.000Z,8.944,7.889
27/10/2021,-4,90.53719336,2021-10-27T01:57:37.000Z,2021-10-27T02:15:07.000Z,2021-10-27T10:12:37.000Z,2021-10-27T10:23:07.000Z,8.417,7.639
28/10/2021,-4,86.9466675,2021-10-28T02:02:56.000Z,2021-10-28T02:19:56.000Z,2021-10-28T09:33:26.000Z,2021-10-28T09:33:26.000Z,7.500,6.972
29/10/2021,-4,51.0921627,2021-10-29T04:02:15.000Z,2021-10-29T04:48:40.000Z,2021-10-29T10:26:10.000Z,2021-10-29T10:27:10.000Z,6.417,4.833
30/10/2021,-4,89.55135024,2021-10-30T02:17:24.000Z,2021-10-30T02:22:24.000Z,2021-10-30T11:16:24.000Z,2021-10-30T11:17:54.000Z,9.000,8.083
31/10/2021,-4,44.18546619,2021-10-31T05:02:45.000Z,2021-10-31T05:21:45.000Z,2021-10-31T10:32:15.000Z,2021-10-31T10:32:15.000Z,5.500,4.306
01/11/2021,-4,94.55365079,2021-11-01T02:08:52.000Z,2021-11-01T02:21:22.000Z,2021-11-01T10:28:52.000Z,2021-11-01T10:30:52.000Z,8.361,7.861
02/11/2021,-4,66.0214197,2021-11-02T02:02:03.000Z,2021-11-02T02:13:03.000Z,2021-11-02T09:51:33.000Z,2021-11-02T10:05:03.000Z,8.056,6.250
03/11/2021,-4,82.08901482,2021-11-03T04:02:57.000Z,2021-11-03T04:02:57.000Z,2021-11-03T10:49:27.000Z,2021-11-03T11:00:57.000Z,6.972,6.417
04/11/2021,-4,91.425,2021-11-04T02:34:25.000Z,2021-11-04T02:39:55.000Z,2021-11-04T10:31:55.000Z,2021-11-04T10:31:55.000Z,7.972,7.583
05/11/2021,-4,75.51664332,2021-11-05T03:09:29.000Z,2021-11-05T03:14:59.000Z,2021-11-05T09:57:29.000Z,2021-11-05T09:59:29.000Z,6.833,6.194
06/11/2021,-4,89.19007937,2021-11-06T02:33:06.000Z,2021-11-06T02:38:06.000Z,2021-11-06T10:04:06.000Z,2021-11-06T10:13:36.000Z,7.667,7.194
07/11/2021,-5,82.39889123,2021-11-07T02:23:10.000Z,2021-11-07T02:28:10.000Z,2021-11-07T11:07:40.000Z,2021-11-07T11:14:40.000Z,8.861,7.667
08/11/2021,-5,90.40992063,2021-11-08T02:35:28.000Z,2021-11-08T02:40:28.000Z,2021-11-08T10:29:58.000Z,2021-11-08T10:29:58.000Z,7.917,7.528
09/11/2021,-5,75.63033268,2021-11-09T07:20:58.000Z,2021-11-09T07:27:58.000Z,2021-11-09T13:30:58.000Z,2021-11-09T13:36:58.000Z,6.278,5.778
12/11/2021,-5,10,2021-11-12T10:30:00.000Z,2021-11-12T10:30:00.000Z,2021-11-12T11:30:00.000Z,2021-11-12T11:30:00.000Z,1.500,1.500
13/11/2021,-5,97.8050557,2021-11-13T02:40:03.000Z,2021-11-13T02:45:33.000Z,2021-11-13T12:23:33.000Z,2021-11-13T12:43:33.000Z,10.056,9.222
14/11/2021,-5,79.30700819,2021-11-14T03:39:14.000Z,2021-11-14T03:43:14.000Z,2021-11-14T10:34:44.000Z,2021-11-14T10:50:44.000Z,7.194,6.444
15/11/2021,-5,93.62277354,2021-11-15T01:36:34.000Z,2021-11-15T01:39:34.000Z,2021-11-15T11:26:04.000Z,2021-11-15T11:45:04.000Z,10.139,9.222
16/11/2021,-5,71.28569959,2021-11-16T03:12:38.000Z,2021-11-16T03:13:38.000Z,2021-11-16T11:18:38.000Z,2021-11-16T11:36:38.000Z,8.389,6.944
17/11/2021,-5,73.43061391,2021-11-17T03:09:10.000Z,2021-11-17T03:23:40.000Z,2021-11-17T09:31:40.000Z,2021-11-17T09:58:40.000Z,6.833,5.722
18/11/2021,-5,94.81610698,2021-11-18T02:44:20.000Z,2021-11-18T02:47:50.000Z,2021-11-18T11:23:20.000Z,2021-11-18T11:35:20.000Z,8.861,8.222
19/11/2021,-5,84.88023256,2021-11-19T04:18:47.000Z,2021-11-19T04:21:17.000Z,2021-11-19T11:28:47.000Z,2021-11-19T11:33:47.000Z,7.250,6.778
20/11/2021,-5,80.63213602,2021-11-20T05:47:24.000Z,2021-11-20T05:53:24.000Z,2021-11-20T12:33:24.000Z,2021-11-20T12:43:54.000Z,6.944,6.333
21/11/2021,-5,85.03760854,2021-11-21T03:49:28.000Z,2021-11-21T03:59:58.000Z,2021-11-21T12:03:58.000Z,2021-11-21T12:08:28.000Z,8.306,7.417
22/11/2021,-5,95.8281746,2021-11-22T02:19:48.000Z,2021-11-22T02:19:48.000Z,2021-11-22T11:29:18.000Z,2021-11-22T11:35:18.000Z,9.250,8.889
23/11/2021,-5,81.91830357,2021-11-23T03:06:57.000Z,2021-11-23T03:11:57.000Z,2021-11-23T11:38:57.000Z,2021-11-23T11:49:57.000Z,8.722,7.583
24/11/2021,-5,85.01813208,2021-11-24T03:20:26.000Z,2021-11-24T03:20:26.000Z,2021-11-24T11:49:56.000Z,2021-11-24T12:00:56.000Z,8.667,7.611
25/11/2021,-5,82.92452823,2021-11-25T04:15:37.000Z,2021-11-25T04:24:07.000Z,2021-11-25T12:20:07.000Z,2021-11-25T12:38:37.000Z,8.389,7.278
26/11/2021,-5,85.0521652,2021-11-26T03:45:30.000Z,2021-11-26T03:50:00.000Z,2021-11-26T12:20:30.000Z,2021-11-26T12:49:30.000Z,9.056,7.806
27/11/2021,-5,89.9281663,2021-11-27T02:54:09.000Z,2021-11-27T03:03:39.000Z,2021-11-27T10:52:09.000Z,2021-11-27T10:52:09.000Z,7.972,7.500
28/11/2021,-5,80.71803752,2021-11-28T02:31:57.000Z,2021-11-28T02:35:27.000Z,2021-11-28T12:09:27.000Z,2021-11-28T12:26:57.000Z,9.917,8.056
29/11/2021,-5,95.23650794,2021-11-29T02:56:43.000Z,2021-11-29T03:02:43.000Z,2021-11-29T11:43:13.000Z,2021-11-29T11:53:13.000Z,8.944,8.361
30/11/2021,-5,76.87353509,2021-11-30T02:58:15.000Z,2021-11-30T03:54:45.000Z,2021-11-30T11:16:45.000Z,2021-11-30T11:37:45.000Z,8.667,6.806
01/12/2021,-5,85.11527778,2021-12-01T03:24:56.000Z,2021-12-01T03:28:26.000Z,2021-12-01T10:45:56.000Z,2021-12-01T10:45:56.000Z,7.361,6.944
02/12/2021,-5,69.17625289,2021-12-02T03:20:50.000Z,2021-12-02T03:39:50.000Z,2021-12-02T10:36:20.000Z,2021-12-02T10:36:20.000Z,7.250,6.139
03/12/2021,-5,96.30753968,2021-12-03T01:34:26.000Z,2021-12-03T01:39:26.000Z,2021-12-03T10:56:26.000Z,2021-12-03T10:56:26.000Z,9.361,9.056
04/12/2021,-5,86.11061188,2021-12-04T03:10:28.000Z,2021-12-04T03:10:28.000Z,2021-12-04T11:26:28.000Z,2021-12-04T11:36:28.000Z,8.444,7.667
05/12/2021,-5,87.52357246,2021-12-05T03:05:20.000Z,2021-12-05T03:11:20.000Z,2021-12-05T12:04:20.000Z,2021-12-05T12:09:20.000Z,9.056,8.083
06/12/2021,-5,86.79383887,2021-12-06T02:45:57.000Z,2021-12-06T02:52:57.000Z,2021-12-06T10:55:27.000Z,2021-12-06T11:03:27.000Z,8.306,7.500
07/12/2021,-5,93.21794791,2021-12-07T02:27:14.000Z,2021-12-07T02:31:44.000Z,2021-12-07T11:24:44.000Z,2021-12-07T11:24:44.000Z,8.972,7.444
08/12/2021,-5,88.34068276,2021-12-08T02:35:42.000Z,2021-12-08T02:46:42.000Z,2021-12-08T11:43:12.000Z,2021-12-08T11:53:42.000Z,9.306,8.111
09/12/2021,-5,88.77038463,2021-12-09T03:09:37.000Z,2021-12-09T03:19:37.000Z,2021-12-09T10:58:07.000Z,2021-12-09T11:04:07.000Z,7.917,7.250
10/12/2021,-5,88.52956894,2021-12-10T03:08:06.000Z,2021-12-10T03:20:06.000Z,2021-12-10T10:43:36.000Z,2021-12-10T10:45:06.000Z,7.611,7.139
11/12/2021,-5,81.37603867,2021-12-11T03:42:32.000Z,2021-12-11T03:46:32.000Z,2021-12-11T12:24:02.000Z,2021-12-11T12:35:32.000Z,8.889,7.583
12/12/2021,-5,72.97882827,2021-12-12T05:19:39.000Z,2021-12-12T05:26:39.000Z,2021-12-12T12:07:09.000Z,2021-12-12T12:18:09.000Z,6.972,6.056
13/12/2021,-5,81.84722222,2021-12-13T02:45:02.000Z,2021-12-13T02:47:32.000Z,2021-12-13T11:33:02.000Z,2021-12-13T11:38:32.000Z,8.889,7.806
14/12/2021,-5,91.5031746,2021-12-14T03:30:04.000Z,2021-12-14T03:30:04.000Z,2021-12-14T11:30:34.000Z,2021-12-14T11:49:04.000Z,8.306,7.611
15/12/2021,-5,91.19961066,2021-12-15T03:28:11.000Z,2021-12-15T03:40:11.000Z,2021-12-15T11:25:11.000Z,2021-12-15T11:46:11.000Z,8.306,7.472
16/12/2021,-5,88.19356028,2021-12-16T02:53:30.000Z,2021-12-16T02:53:30.000Z,2021-12-16T11:33:00.000Z,2021-12-16T11:42:30.000Z,8.806,7.917
17/12/2021,-5,92.48174603,2021-12-17T03:31:29.000Z,2021-12-17T03:32:59.000Z,2021-12-17T11:40:59.000Z,2021-12-17T11:45:59.000Z,8.250,7.778
18/12/2021,-5,92.44207365,2021-12-18T02:29:29.000Z,2021-12-18T02:33:59.000Z,2021-12-18T11:36:29.000Z,2021-12-18T11:36:29.000Z,9.111,8.389
19/12/2021,-5,82.01533927,2021-12-19T03:37:53.000Z,2021-12-19T03:43:23.000Z,2021-12-19T11:27:23.000Z,2021-12-19T11:27:53.000Z,7.833,6.972
20/12/2021,-5,83.52154655,2021-12-20T02:08:49.000Z,2021-12-20T02:14:49.000Z,2021-12-20T10:46:49.000Z,2021-12-20T11:08:49.000Z,9.000,7.556
21/12/2021,-5,89.55634921,2021-12-21T02:43:14.000Z,2021-12-21T02:47:14.000Z,2021-12-21T10:37:14.000Z,2021-12-21T11:04:44.000Z,8.361,7.528
22/12/2021,-5,86.2702381,2021-12-22T03:44:19.000Z,2021-12-22T03:47:19.000Z,2021-12-22T10:50:49.000Z,2021-12-22T10:56:49.000Z,7.222,6.889
23/12/2021,-5,84.6471564,2021-12-23T04:12:56.000Z,2021-12-23T04:18:26.000Z,2021-12-23T13:00:26.000Z,2021-12-23T13:10:26.000Z,8.972,7.750
25/12/2021,-5,80.96842655,2021-12-25T02:58:03.000Z,2021-12-25T03:07:03.000Z,2021-12-25T11:36:33.000Z,2021-12-25T11:39:03.000Z,8.694,7.472
26/12/2021,-5,90.09898659,2021-12-26T03:46:33.000Z,2021-12-26T03:50:33.000Z,2021-12-26T12:08:33.000Z,2021-12-26T12:11:33.000Z,8.417,7.889
27/12/2021,-5,63.00435321,2021-12-27T04:04:22.000Z,2021-12-27T04:10:52.000Z,2021-12-27T12:50:52.000Z,2021-12-27T13:01:22.000Z,8.944,6.694
28/12/2021,-5,82.60351336,2021-12-28T02:24:49.000Z,2021-12-28T02:31:19.000Z,2021-12-28T10:57:19.000Z,2021-12-28T11:08:19.000Z,8.722,7.444
29/12/2021,-5,88.66254125,2021-12-29T03:39:25.000Z,2021-12-29T03:49:55.000Z,2021-12-29T11:16:25.000Z,2021-12-29T11:19:25.000Z,7.667,7.194
30/12/2021,-5,88.16951716,2021-12-30T02:55:13.000Z,2021-12-30T02:56:43.000Z,2021-12-30T10:52:43.000Z,2021-12-30T11:19:43.000Z,8.417,7.444
31/12/2021,-5,93.90993606,2021-12-31T02:47:20.000Z,2021-12-31T02:54:20.000Z,2021-12-31T11:08:50.000Z,2021-12-31T11:08:50.000Z,8.361,7.917
